"Format","MoTeC CSV File",,,"Workbook",""
"Venue","barcelona",,,"Worksheet",""
"Vehicle","bmw_z4_gt3",,,"Vehicle Desc",""
"Driver","Lach Dimitrov",,,"Engine ID",""
"Device","ADL"
"Comment","Exported Using ACTI v0.7",,,"Session",""
"Log Date","10/23/2014",,,"Origin Time","115.212","s"
"Log Time","3:39:00 PM",,,"Start Time","115.250","s"
"Sample Rate","5.000","Hz",,"End Time","220.150","s"
"Duration","104.900","s",,"Start Distance","4545","m"
"Range","Lap 1",,,"End Distance","9246","m"


"ABS Active","ABS Enabled","Best Lap Time","Brake Pos","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Car Coord X","Car Coord Y","Car Coord Z","Car Pitch Angle","Car Pos Norm","Clutch Pos","Engine Limiter","Engine RPM","Gear","Ground Speed","HR Sample Clock","In Pit","LR Sample Clock","Lap Time","Last Lap Time","Raw Data Sample Rate","Session Lap Count","Steering Angle","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Camber FL","Tire Camber FR","Tire Camber RL","Tire Camber RR","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR"
"","","s","%","G","G","G","mm","m","m","m","deg","","%","","rpm","","km/h","","","","s","s","Hz","","deg","mm","mm","mm","mm","","","%","deg","deg","deg","deg","","","","","N","N","N","N","mm","mm","mm","mm","mm","mm","mm","mm","deg","deg","deg","deg","%","%","%","%","rad/s","rad/s","rad/s","rad/s"


"0","1","105.392","0.0","0.00","0.23","0.04","363.23","-334.3","188.82","6.4","0.00","0.00","100.0","0","8047","6","212.3","1","0","0","0.047","133.376","50.0","5","-0.2","28.0","28.3","59.4","59.6","0","0","100.0","-4.36","-4.31","-3.43","-3.38","0.00","0.00","0.00","0.00","4690","4539","4914","4897","329.7","329.1","342.1","341.5","340.0","340.0","352.5","352.5","-0.06","0.12","-0.07","0.10","-0.1","0.0","1.0","-131072.0","175.1","175.2","171.3","172.6"
"0","1","105.392","0.0","-0.01","0.23","0.02","364.03","-322.5","188.74","6.4","0.00","0.00","100.0","0","8105","6","213.9","1","0","0","0.248","133.376","50.0","5","-0.2","28.0","27.4","59.8","59.5","0","0","100.0","-4.33","-4.33","-3.41","-3.40","0.00","0.00","0.00","0.00","4533","4398","4996","4825","330.0","329.4","341.9","341.7","340.0","340.0","352.5","352.5","-0.06","0.11","-0.07","0.10","-0.1","0.0","1.0","-131072.0","176.4","176.4","172.5","173.9"
"0","1","105.392","0.0","0.05","0.22","0.12","362.82","-310.6","188.66","6.4","0.00","0.01","100.0","0","8162","6","215.5","1","0","1","0.448","133.376","50.0","5","-0.2","28.2","30.4","59.5","60.3","0","0","100.0","-4.60","-4.27","-3.42","-3.31","0.00","0.00","0.00","0.00","4349","5301","4985","5599","330.4","327.3","341.9","339.9","340.0","340.0","352.5","352.5","-0.06","0.13","-0.07","0.10","-0.1","0.0","1.0","-131072.0","177.6","178.1","173.8","175.1"
"0","1","105.392","0.0","0.03","0.21","0.04","365.38","-298.6","188.57","6.4","0.00","0.01","100.0","0","8223","6","217.0","1","0","1","0.647","133.376","50.0","5","-0.2","26.6","26.5","57.5","58.1","0","0","100.0","-4.38","-4.25","-3.42","-3.26","0.00","0.00","0.00","0.00","4538","5008","4679","5005","330.0","328.0","342.6","341.3","340.0","340.0","352.5","352.5","-0.04","0.12","-0.07","0.10","-0.1","-0.2","1.0","-131072.0","178.9","179.2","175.2","176.3"
"0","1","105.392","0.0","0.03","0.22","-0.02","365.16","-286.5","188.49","6.4","0.00","0.01","100.0","0","8278","6","218.5","1","0","0","0.847","133.376","50.0","5","-0.2","27.2","27.8","58.8","58.7","0","0","100.0","-4.39","-4.27","-3.40","-3.32","0.00","0.00","0.00","0.00","4297","4459","4738","5236","330.5","329.3","342.5","340.8","340.0","340.0","352.5","352.5","-0.05","0.12","-0.06","0.12","-0.1","0.0","1.0","-131072.0","180.0","180.2","176.3","177.5"
"0","1","105.392","0.0","0.01","0.20","-0.01","365.12","-274.3","188.40","6.4","0.00","0.01","100.0","0","8329","6","219.9","1","0","0","1.047","133.376","50.0","5","-0.2","27.3","27.3","58.7","59.0","0","0","100.0","-4.35","-4.29","-3.41","-3.35","0.00","0.00","0.00","0.00","4527","4516","4794","4828","330.0","329.2","342.4","341.7","340.0","340.0","352.5","352.5","-0.05","0.12","-0.06","0.10","-0.1","0.0","1.0","-131072.0","181.3","181.4","177.4","178.6"
"0","1","105.392","0.0","0.01","0.20","-0.00","364.79","-262.0","188.32","6.4","0.00","0.02","100.0","0","8381","6","221.3","1","0","0","1.248","133.376","62.5","5","-0.2","27.6","27.6","58.7","58.9","0","0","100.0","-4.36","-4.25","-3.42","-3.35","0.00","0.00","0.00","0.00","4546","4649","4812","4900","330.0","328.9","342.3","341.5","340.0","340.0","352.5","352.5","-0.06","0.12","-0.07","0.10","-0.1","-0.2","1.0","-131072.0","182.5","182.7","178.5","179.7"
