"Format","MoTeC CSV File",,,"Workbook",""
"Venue","imola",,,"Worksheet",""
"Vehicle","bmw_z4_gt3",,,"Vehicle Desc",""
"Driver","Latch Dimitrov",,,"Engine ID",""
"Device","ADL"
"Comment","AC_QUALIFY",,,"Session","AC_QUALIFY"
"Log Date","12/8/2014",,,"Origin Time","117.420","s"
"Log Time","10:47:00 AM",,,"Start Time","117.450","s"
"Sample Rate","5.000","Hz",,"End Time","221.000","s"
"Duration","103.550","s",,"Start Distance","4877.6","m"
"Range","Lap 1",,,"End Distance","9740.8","m"


"ABS Active","ABS Enabled","Best Lap Time","Brake Pos","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","Drive Train Speed","Engine Limiter","Engine RPM","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","LR Sample Clock","Lap Time","Lap Time2","Last Lap Time","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Num Tires Off Track","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Steering Angle","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temperature FL","Tire Temperature FR","Tire Temperature RL","Tire Temperature RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR"
"","","s","%","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","rad/s","","rpm","l","","km/h","","","","s","s","s","l","hp","rpm","mm","mm","mm","mm","N.m","","Hz","mm","mm","mm","mm","N.m","N.m","N.m","N.m","","deg","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s"


"0","1","148.867","0.0","-0.24","0.15","-0.19","370.8","-3.93","-4.19","-3.01","-3.27","-202.9","-388.4","-84.9","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","0.29","2.29","0.17","-3.78","64.74","-0.28","0.20","3.14","100.0","0","189.20","0","7588","2.61","6","233.1","1","0","0","0.045","0.045","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","53.7","53.7","53.6","53.6","-303.5","60.3","-124.4","26.9","2","4.9","25.3","25.0","53.8","50.7","0","0","100.0","0.00","0.00","0.00","0.00","5957","4759","4156","2934","326.0","329.1","343.5","346.2","33.85","34.86","34.69","34.89","340.0","340.0","352.5","352.5","99.99","100.00","100.00","100.00","-0.37","-0.57","-0.24","-0.34","-0.4","-0.0","1.9","2.6","81.3","87.6","86.6","87.8","0.19","-0.36","-0.03","-0.04","0.00","192.88","192.26","188.89","189.51"
"0","1","148.867","0.0","-0.33","0.14","-0.12","367.9","-4.46","-4.56","-3.49","-3.64","-190.7","-389.5","-84.9","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","0.24","-0.66","0.74","4.11","65.02","-0.29","0.16","3.72","100.0","0","189.33","0","7593","2.61","6","234.1","1","0","1","0.233","0.233","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","54.6","54.6","51.0","51.0","-238.0","54.9","-172.1","69.1","2","4.5","28.6","24.5","57.4","55.1","0","0","100.0","0.00","0.00","0.00","0.00","4721","4168","4629","4519","328.9","330.5","342.5","342.8","33.87","34.86","34.72","34.90","340.0","340.0","352.5","352.5","100.00","100.00","100.00","100.00","-0.35","-0.61","-0.30","-0.39","-0.1","-0.1","1.9","1.6","81.4","87.6","86.7","87.9","0.19","-0.35","-0.03","-0.02","0.00","193.29","192.73","189.79","188.87"
"0","1","148.867","0.0","-0.38","0.14","0.03","363.2","-4.17","-4.56","-3.11","-3.44","-177.3","-390.9","-84.8","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","0.31","2.67","0.84","-1.55","65.31","-0.31","0.17","3.74","100.0","0","190.10","0","7624","2.60","6","235.1","1","0","1","0.440","0.440","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","47.6","47.6","46.5","46.5","-348.9","81.8","-265.6","71.7","2","4.3","33.0","28.8","59.0","55.9","0","0","100.0","0.00","0.00","0.00","0.00","6188","4869","6172","4843","325.4","328.9","339.2","342.1","33.90","34.86","34.75","34.92","340.0","340.0","352.5","352.5","100.00","100.00","100.00","100.00","-0.38","-0.56","-0.33","-0.38","-0.1","-0.0","1.5","1.4","81.6","87.6","86.9","88.0","0.22","-0.31","-0.02","-0.02","0.00","194.89","193.98","190.53","189.68"
"0","1","148.867","0.0","-0.36","0.15","0.17","363.4","-4.22","-4.48","-3.20","-3.52","-164.5","-392.4","-84.8","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","0.39","1.75","0.83","-2.52","65.58","-0.29","0.17","2.88","100.0","0","190.79","0","7652","2.60","6","236.1","1","0","0","0.635","0.635","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","62.5","49.0","49.0","44.0","44.0","-303.8","87.4","-280.7","81.7","2","3.5","31.6","29.0","60.5","56.6","0","0","100.0","0.00","0.00","0.00","0.00","5801","4807","6268","5212","326.4","329.0","339.0","341.3","33.92","34.87","34.78","34.94","340.0","340.0","352.5","352.5","100.00","100.00","100.00","100.00","-0.31","-0.51","-0.27","-0.35","-0.1","-0.0","1.1","1.6","81.8","87.7","87.2","88.1","0.17","-0.26","-0.02","-0.03","0.00","195.48","194.78","190.59","190.99"
"0","1","148.867","0.0","-0.22","0.14","-0.20","369.6","-4.23","-4.36","-3.22","-3.40","-151.5","-394.0","-84.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","0.44","0.09","0.90","-0.01","65.85","-0.22","0.15","2.10","100.0","0","191.82","0","7693","2.59","6","237.1","1","0","0","0.835","0.835","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","55.2","55.2","50.0","50.0","-184.6","76.0","-163.5","64.0","2","2.6","27.7","25.9","56.8","54.7","0","0","100.0","0.00","0.00","0.00","0.00","4416","4025","4741","4313","329.6","330.8","342.3","343.3","33.95","34.88","34.82","34.96","340.0","340.0","352.5","352.5","100.00","100.00","100.00","100.00","-0.20","-0.44","-0.20","-0.28","-0.1","-0.1","1.5","2.0","82.0","87.7","87.4","88.2","0.08","-0.23","-0.02","-0.03","0.00","195.57","195.22","191.57","192.07"
"0","1","148.867","0.0","-0.22","0.14","-0.06","366.3","-4.20","-4.42","-3.28","-3.51","-138.7","-395.7","-84.6","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","0.49","-0.82","0.81","0.35","66.12","-0.17","0.14","1.64","100.0","0","192.35","0","7714","2.58","6","238.0","1","0","0","1.032","1.032","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","62.5","52.3","52.3","46.0","46.0","-203.9","98.5","-176.2","108.9","2","2.4","30.1","27.7","60.4","57.5","0","0","100.0","0.00","0.00","0.00","0.00","4833","4305","5309","4841","328.7","330.2","341.1","342.2","33.98","34.88","34.85","34.98","340.0","340.0","352.5","352.5","100.00","100.00","100.00","100.00","-0.16","-0.38","-0.15","-0.21","-0.1","-0.1","1.6","1.4","82.1","87.8","87.6","88.4","0.09","-0.21","-0.02","-0.03","0.00","196.55","196.14","192.69","192.02"
"0","1","148.867","0.0","-0.19","0.12","0.10","365.3","-4.53","-4.41","-3.46","-3.47","-125.5","-397.6","-84.5","0.00","0.00","0.00","0.00","0.02","-7.49","-7.49","0.48","0.31","0.78","-0.27","66.38","-0.14","0.16","1.41","100.0","0","193.11","0","7745","2.58","6","239.0","1","0","1","1.233","1.233","153.540","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","50.3","50.3","45.4","45.4","-241.7","136.8","-197.6","131.5","2","1.9","30.1","28.3","59.3","57.0","0","0","100.0","0.00","0.00","0.00","0.00","5354","5120","5629","5216","327.4","328.3","340.4","341.4","33.99","34.89","34.88","35.00","340.0","340.0","352.5","352.5","100.00","100.00","100.00","100.00","-0.10","-0.33","-0.12","-0.17","-0.1","-0.1","1.5","1.3","82.2","87.8","87.8","88.5","0.05","-0.17","-0.02","-0.02","0.00","197.56","197.31","193.46","192.76"
