"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_nordschleife",,,"Worksheet",""
"Vehicle","bmw_m3_gt2",,,"Vehicle Desc",""
"Driver","Latch Dimitrov",,,"Engine ID",""
"Device","ADL"
"Comment","AC_QUALIFY",,,"Session","AC_QUALIFY"
"Log Date","4/8/2015",,,"Origin Time","558.876","s"
"Log Time","3:53:00 PM",,,"Start Time","558.900","s"
"Sample Rate","5.000","Hz",,"End Time","1055.600","s"
"Duration","496.700","s",,"Start Distance","24964.6","m"
"Range","Lap 1",,,"End Distance","50225.7","m"


"ABS Active","ABS Enabled","Best Lap Time","Brake Pos","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","Drive Train Speed","Engine Limiter","Engine RPM","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","LR Sample Clock","Lap Time","Lap Time2","Last Lap Time","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Num Tires Off Track","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Steering Angle","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temperature FL","Tire Temperature FR","Tire Temperature RL","Tire Temperature RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR"
"","","s","%","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","rad/s","","rpm","l","","km/h","","","","s","s","s","l","hp","rpm","mm","mm","mm","mm","N.m","","Hz","mm","mm","mm","mm","N.m","N.m","N.m","N.m","","deg","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s"


"0","0","573.980","0.0","0.07","0.21","0.06","362.0","-3.65","-3.27","-2.59","-2.15","721.1","2589.5","138.5","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.74","-1.41","1.44","0.55","59.69","0.10","-0.54","-0.51","100.0","0","172.63","0","7990","14.08","5","214.9","0","0","1","0.030","0.030","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","50.0","64.6","64.6","66.0","66.0","-90.5","125.5","-123.6","158.7","1","-1.1","28.3","28.4","46.7","47.5","0","0","100.0","0.00","0.00","0.00","0.00","3656","3939","5785","5980","316.5","315.9","342.2","341.9","34.20","34.49","35.24","35.43","325.0","325.0","355.0","355.0","99.85","99.85","99.68","99.67","0.08","0.14","0.06","0.17","-0.1","-0.1","1.2","1.7","83.5","85.3","90.0","91.2","-0.02","0.05","0.01","0.05","0.00","185.12","185.23","172.13","173.13"
"0","0","573.980","0.0","0.05","0.20","0.09","362.7","-3.34","-3.27","-2.21","-2.05","729.8","2598.5","138.4","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.94","1.92","1.32","0.45","60.10","0.08","-0.56","-0.21","100.0","0","173.87","0","8047","14.07","5","216.4","0","0","0","0.240","0.240","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","50.0","64.6","64.6","66.0","66.0","-132.3","171.8","-103.9","137.8","1","0.5","28.9","28.9","41.1","42.1","0","0","100.0","0.00","0.00","0.00","0.00","4809","4996","5645","5651","313.8","313.4","342.5","342.6","34.19","34.49","35.25","35.44","325.0","325.0","355.0","355.0","99.85","99.85","99.68","99.67","0.04","0.11","0.03","0.15","-0.0","-0.1","1.3","1.8","83.4","85.3","90.0","91.2","0.02","0.00","0.03","0.06","0.00","186.96","187.04","173.43","174.30"
"0","0","573.980","0.0","-0.03","0.20","0.25","358.9","-3.22","-3.31","-2.14","-2.06","737.8","2606.8","138.3","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.80","2.16","1.38","1.00","60.46","-0.02","-0.55","0.64","100.0","0","174.88","0","8094","14.07","5","217.7","0","0","0","0.430","0.430","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","50.0","64.6","64.6","66.0","66.0","-197.8","181.0","-147.7","142.0","1","0.3","31.5","30.7","45.3","45.8","0","0","100.0","0.00","0.00","0.00","0.00","5736","5542","5935","5993","311.6","312.2","341.9","341.9","34.19","34.49","35.26","35.45","325.0","325.0","355.0","355.0","99.85","99.85","99.67","99.67","-0.07","0.04","-0.10","0.11","-0.1","-0.1","1.1","1.7","83.5","85.3","90.1","91.3","0.03","0.01","0.03","0.11","0.00","188.56","188.38","174.48","175.30"
"0","0","573.980","0.0","-0.09","0.18","-0.11","362.8","-3.20","-3.30","-2.04","-2.10","746.4","2615.7","138.3","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.89","-0.25","1.31","0.74","60.84","-0.10","-0.57","1.17","100.0","0","175.83","0","8138","14.06","5","219.0","0","0","1","0.640","0.640","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","62.5","64.6","64.6","66.0","66.0","-152.2","109.1","-133.3","112.4","1","0.1","28.8","27.6","45.1","43.3","0","0","100.0","0.00","0.00","0.00","0.00","4509","4214","5505","5532","314.5","315.3","342.9","342.9","34.20","34.49","35.27","35.46","325.0","325.0","355.0","355.0","99.85","99.85","99.67","99.67","-0.15","-0.03","-0.15","0.02","-0.1","-0.1","1.7","1.2","83.5","85.3","90.2","91.4","0.03","0.01","0.01","0.12","0.00","189.17","188.88","176.31","175.36"
"0","0","573.980","0.0","-0.08","0.21","0.02","359.8","-3.33","-3.43","-2.23","-2.28","754.4","2624.0","138.2","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.80","0.75","1.29","0.04","61.18","-0.09","-0.54","0.43","100.0","0","176.87","0","8186","14.06","5","220.2","0","0","1","0.820","0.820","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","50.0","64.6","64.6","66.0","66.0","-138.6","113.2","-154.2","113.4","1","-0.3","31.2","29.9","48.8","47.4","0","0","100.0","0.00","0.00","0.00","0.00","4253","3997","5766","5815","315.1","315.8","342.3","342.2","34.20","34.49","35.28","35.47","325.0","325.0","355.0","355.0","99.85","99.85","99.67","99.67","-0.15","0.00","-0.12","-0.01","0.0","0.0","1.2","1.6","83.5","85.3","90.3","91.4","0.06","0.06","0.01","0.08","0.00","190.13","189.98","176.48","177.26"
"0","0","573.980","0.0","-0.06","0.17","0.20","360.9","-3.29","-3.38","-2.08","-2.12","763.4","2633.3","138.1","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-1.07","2.46","1.43","0.92","61.54","-0.05","-0.59","0.34","100.0","0","178.00","0","8238","14.05","5","221.6","0","0","1","1.040","1.040","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","50.0","64.6","64.6","66.0","66.0","-201.4","195.3","-139.0","118.2","1","-0.5","31.0","30.0","40.6","40.3","0","0","100.0","0.00","0.00","0.00","0.00","5824","5790","5750","5724","311.4","311.6","342.3","342.5","34.20","34.48","35.29","35.48","325.0","325.0","355.0","355.0","99.85","99.85","99.67","99.67","-0.07","0.03","-0.13","0.03","-0.1","-0.1","1.6","1.2","83.5","85.3","90.3","91.5","0.02","0.04","0.03","0.08","0.00","191.95","191.88","178.41","177.58"
"0","0","573.980","0.0","-0.01","0.17","0.03","363.3","-3.25","-3.27","-2.18","-2.16","771.5","2641.6","138.0","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.98","-1.59","1.35","-1.07","61.87","-0.05","-0.57","0.07","100.0","0","178.74","0","8272","14.04","5","222.7","0","0","0","1.220","1.220","573.980","110.00","435.8","8750","0.0","0.0","110.0","110.0","429.0","0","50.0","64.6","64.6","66.0","66.0","-109.9","113.1","-119.9","127.9","1","-0.8","27.0","27.2","44.8","44.3","0","0","100.0","0.00","0.00","0.00","0.00","4000","4031","5270","5557","315.7","315.7","343.4","342.8","34.21","34.49","35.31","35.49","325.0","325.0","355.0","355.0","99.85","99.85","99.67","99.67","-0.02","0.03","-0.09","0.08","-0.1","-0.0","1.2","1.6","83.6","85.3","90.4","91.5","-0.04","0.06","0.03","0.09","0.00","192.06","192.01","178.36","179.11"
