"Format","MoTeC CSV File",,,"Workbook",""
"Venue","silverstone",,,"Worksheet",""
"Vehicle","bmw_z4_gt3",,,"Vehicle Desc",""
"Driver","Latch Dimitrov",,,"Engine ID",""
"Device","ADL"
"Comment","Exported Using ACTI v0.6",,,"Session",""
"Log Date","10/17/2014",,,"Origin Time","497.904","s"
"Log Time","4:09:00 PM",,,"Start Time","497.950","s"
"Sample Rate","5.000","Hz",,"End Time","620.800","s"
"Duration","122.850","s",,"Start Distance","23030","m"
"Range","Lap 4",,,"End Distance","28843","m"


"Ground Speed","ABS Enabled","ABS Active","TC Enabled","TC Active","In Pit","Engine Limiter","CG Accel Lateral","CG Accel Vertical","CG Accel Longitudinal","Lap Time","Session Lap Count","Throttle Pos","Brake Pos","Clutch Pos","Engine RPM","Steering Angle","Gear","CG Height","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Camber FL","Tire Camber FR","Tire Camber RL","Tire Camber RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","Car Pos Norm","Car Pitch Angle","Car Coord X","Car Coord Z","Car Coord Y","Raw Data Sampl Rate","Sampl Clock"
"km/h","","","","","","","G","G","G","s","","%","%","%","rpm","deg","","mm","rad/s","rad/s","rad/s","rad/s","deg","deg","deg","deg","%","%","%","%","N","N","N","N","","","","","deg","deg","deg","deg","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","","deg","m","m","m","Hz",""


"204.0","1","0","0","0","0","0","0.00","-0.01","0.23","0.060","10","100.0","0.0","100.0","7743","-0.2","6","369.84","168.0","168.2","166.1","164.8","-0.05","0.09","-0.07","0.09","-0.1","-0.1","2.4","1.5","4196","4257","4786","4921","0.00","0.00","0.00","0.00","-4.33","-4.26","-3.44","-3.36","340.0","340.0","352.5","352.5","330.9","329.8","342.3","341.5","25.7","25.7","59.1","59.5","0.00","0.00","382.3","-5.8","228.5","50.0","1"
"205.6","1","0","0","0","0","0","0.00","0.09","0.23","0.260","10","100.0","0.0","100.0","7807","-0.2","6","369.10","169.6","169.8","167.4","166.3","-0.05","0.10","-0.06","0.10","-0.1","-0.1","2.3","1.5","4882","4859","4914","4926","0.00","0.00","0.00","0.00","-4.33","-4.25","-3.39","-3.34","340.0","340.0","352.5","352.5","329.4","328.3","342.1","341.4","25.4","25.5","58.0","58.1","0.00","0.00","375.6","-5.7","219.3","50.0","1"
"207.2","1","0","0","0","0","0","0.01","0.05","0.23","0.460","10","100.0","0.0","100.0","7860","-0.2","6","367.64","170.7","170.9","168.6","167.4","-0.06","0.12","-0.07","0.11","-0.1","-0.1","2.2","1.3","4257","4391","5128","5267","0.00","0.00","0.00","0.00","-4.39","-4.30","-3.50","-3.42","340.0","340.0","352.5","352.5","330.7","329.4","341.6","340.7","28.5","28.7","61.6","62.0","0.00","0.00","368.9","-5.6","210.0","50.0","1"
"208.8","1","0","0","0","0","0","-0.00","-0.07","0.23","0.660","10","100.0","0.0","100.0","7921","-0.1","6","371.01","171.8","172.0","169.9","168.7","-0.05","0.08","-0.08","0.08","-0.1","-0.1","2.2","1.4","3761","3797","4940","5104","0.00","0.00","0.00","0.00","-4.32","-4.28","-3.45","-3.37","340.0","340.0","352.5","352.5","331.8","330.9","342.0","341.1","25.9","25.4","59.7","60.1","0.01","0.00","362.2","-5.4","200.7","50.0","1"
"210.3","1","0","0","0","0","0","-0.02","0.55","0.21","0.860","10","100.0","0.0","100.0","7975","-0.5","6","362.04","174.3","174.4","171.1","169.8","-0.09","0.13","-0.08","0.09","-0.1","-0.1","1.9","1.0","6651","6279","6369","6301","0.00","0.00","0.00","0.00","-4.37","-4.39","-3.49","-3.45","340.0","340.0","352.5","352.5","325.5","324.9","339.0","338.4","31.2","30.1","62.3","62.2","0.01","0.00","355.4","-5.3","191.2","50.0","1"
"211.8","1","0","0","0","0","0","0.00","-0.47","0.25","1.060","10","100.0","0.0","100.0","8143","-0.5","6","381.71","173.9","174.0","174.5","173.5","0.02","0.07","-0.05","0.08","-0.2","-0.2","3.9","3.3","3187","3150","3316","3251","0.00","0.00","0.00","0.00","-4.16","-4.10","-3.18","-3.13","340.0","340.0","352.5","352.5","333.0","332.4","345.4","345.2","16.5","16.9","49.1","49.7","0.01","0.00","348.5","-5.1","181.7","50.0","1"
"213.3","1","0","0","0","0","0","0.03","-0.26","0.19","1.260","10","100.0","0.0","100.0","8090","-0.9","6","371.72","175.2","175.5","173.5","172.3","-0.00","0.14","-0.06","0.11","-0.1","-0.1","2.5","1.7","3103","3609","3754","4082","0.00","0.00","0.00","0.00","-4.39","-4.18","-3.51","-3.41","340.0","340.0","352.5","352.5","333.2","331.3","344.5","343.4","24.5","26.2","61.4","62.0","0.01","0.00","341.6","-5.0","172.1","50.0","1"
