"Format","MoTeC CSV File",,,"Workbook",""
"Venue","spa",,,"Worksheet",""
"Vehicle","bmw_z4_gt3",,,"Vehicle Desc",""
"Driver","Latch Dimitrov",,,"Engine ID",""
"Device","ADL"
"Comment","AC_RACE",,,"Session","AC_RACE"
"Log Date","12/10/2014",,,"Origin Time","421.451","s"
"Log Time","2:49:00 PM",,,"Start Time","421.500","s"
"Sample Rate","5.000","Hz",,"End Time","560.250","s"
"Duration","138.750","s",,"Start Distance","20874.6","m"
"Range","Lap 4",,,"End Distance","27827.8","m"


"ABS Active","ABS Enabled","Best Lap Time","Brake Pos","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","Drive Train Speed","Engine Limiter","Engine RPM","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","LR Sample Clock","Lap Time","Lap Time2","Last Lap Time","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Num Tires Off Track","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Steering Angle","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temperature FL","Tire Temperature FR","Tire Temperature RL","Tire Temperature RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR"
"","","s","%","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","rad/s","","rpm","l","","km/h","","","","s","s","s","l","hp","rpm","mm","mm","mm","mm","N.m","","Hz","mm","mm","mm","mm","N.m","N.m","N.m","N.m","","deg","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s"


"0","1","139.175","0.0","-0.07","0.40","0.11","372.2","-4.11","-4.29","-3.31","-3.40","245.4","-626.0","19.2","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","1.49","-0.98","-1.26","0.71","44.58","-0.06","0.29","0.66","100.0","0","130.88","0","7349","10.36","4","160.5","0","0","1","0.060","0.060","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","41.7","62.8","62.8","42.2","42.2","-101.6","61.4","-177.8","98.0","3","1.3","22.7","21.4","60.5","59.7","0","0","100.0","0.00","0.00","0.00","0.00","3477","3114","5750","5545","332.1","333.0","340.1","340.7","35.30","35.63","34.75","35.18","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.02","-0.31","-0.12","-0.14","-0.1","-0.1","2.0","2.8","90.4","92.4","86.9","89.7","-0.03","-0.19","0.03","-0.00","0.00","132.00","131.83","130.44","131.32"
"0","1","139.175","0.0","-0.08","0.35","-0.06","376.0","-3.98","-4.14","-3.20","-3.28","250.6","-633.5","19.4","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","1.27","-1.02","-1.07","0.90","45.30","-0.07","0.26","0.92","100.0","0","133.80","0","7513","10.35","4","163.1","0","0","1","0.265","0.265","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","63.0","63.0","50.9","50.9","-128.9","66.0","-79.0","50.4","3","1.3","21.0","19.5","55.6","55.1","0","0","100.0","0.00","0.00","0.00","0.00","4160","3419","3983","3875","330.6","332.3","343.9","344.3","35.27","35.60","34.74","35.17","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.01","-0.33","-0.11","-0.17","-0.1","-0.1","3.6","3.1","90.2","92.2","86.9","89.6","-0.05","-0.21","0.02","-0.02","0.00","134.36","134.07","134.18","133.41"
"0","1","139.175","0.0","-0.07","0.35","0.08","372.9","-4.05","-4.16","-3.37","-3.40","255.4","-640.6","19.5","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","1.35","0.21","-0.96","-0.61","45.98","-0.07","0.25","0.84","100.0","0","135.38","0","7602","10.35","4","165.5","0","0","1","0.453","0.453","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","59.3","59.3","46.4","46.4","-139.9","93.8","-106.8","69.1","3","1.3","23.5","22.7","58.2","57.4","0","0","100.0","0.00","0.00","0.00","0.00","4288","4133","4416","4137","330.3","330.7","343.0","343.7","35.25","35.57","34.73","35.16","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.02","-0.29","-0.11","-0.15","-0.1","-0.1","2.6","3.3","90.1","92.1","86.8","89.5","-0.03","-0.18","0.02","-0.01","0.00","136.45","136.34","134.98","135.78"
"0","1","139.175","0.0","-0.07","0.38","-0.04","375.0","-4.14","-4.03","-3.34","-3.29","260.7","-648.4","19.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","1.33","0.16","-0.83","-1.39","46.70","-0.07","0.28","0.78","100.0","0","137.74","0","7734","10.34","4","168.1","0","0","0","0.655","0.655","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","62.5","62.7","62.7","47.1","47.1","-101.8","65.6","-111.4","75.9","3","1.3","21.7","21.6","56.5","55.7","0","0","100.0","0.00","0.00","0.00","0.00","3466","3374","4759","4406","332.2","332.4","342.3","343.1","35.22","35.54","34.72","35.15","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.05","-0.29","-0.10","-0.12","-0.1","-0.1","3.2","2.8","89.9","91.9","86.8","89.4","-0.04","-0.19","0.04","-0.01","0.00","138.31","138.23","138.07","137.40"
"0","1","139.175","0.0","-0.06","0.37","0.15","371.3","-4.19","-4.24","-3.30","-3.30","266.2","-656.6","19.9","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","1.41","1.78","-0.73","0.80","47.43","-0.06","0.27","0.76","100.0","0","139.46","0","7831","10.34","4","170.7","0","0","0","0.865","0.865","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","41.7","58.0","58.0","43.7","43.7","-134.5","112.4","-137.3","111.7","3","0.1","24.9","24.1","58.5","57.7","0","0","100.0","0.00","0.00","0.00","0.00","4198","4314","5333","5287","330.5","330.3","341.0","341.3","35.20","35.51","34.72","35.14","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.07","-0.22","-0.09","-0.09","-0.1","-0.1","2.8","2.3","89.7","91.7","86.7","89.4","-0.07","-0.12","0.02","0.01","0.00","140.75","140.71","139.82","139.12"
"0","1","139.175","0.0","0.03","0.32","-0.04","375.1","-4.32","-4.15","-3.55","-3.08","271.6","-664.7","20.1","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","1.46","-0.19","-0.68","0.03","48.12","-0.00","0.27","-0.90","100.0","0","141.61","0","7951","10.33","4","173.2","0","0","1","1.067","1.067","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","61.6","61.6","46.8","46.8","-78.6","99.1","-84.2","76.4","3","-1.1","22.2","22.9","57.5","57.2","0","0","100.0","0.00","0.00","0.00","0.00","3191","3773","3854","4389","332.8","331.5","344.2","343.2","35.17","35.49","34.71","35.13","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.21","-0.14","0.01","-0.01","-0.0","-0.1","2.7","3.1","89.6","91.5","86.7","89.3","-0.17","-0.04","0.03","-0.01","0.00","142.38","142.63","141.24","141.99"
"0","1","139.175","0.0","0.06","0.35","-0.03","374.1","-4.29","-4.39","-3.47","-3.46","276.7","-672.2","20.2","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","1.44","-0.66","-0.73","1.42","48.75","0.07","0.29","-1.15","100.0","0","143.27","0","8045","10.32","4","175.5","0","0","1","1.255","1.255","139.175","110.00","441.4","8750","0.0","0.0","80.0","80.0","421.0","0","50.0","62.2","62.2","45.1","45.1","-68.4","106.1","-90.9","130.6","3","-1.1","22.1","22.4","57.9","58.2","0","0","100.0","0.00","0.00","0.00","0.00","3221","3489","4820","4952","332.7","332.2","342.1","342.0","35.15","35.46","34.70","35.12","340.0","340.0","352.5","352.5","99.32","99.32","99.33","99.33","0.27","-0.06","0.10","0.09","-0.1","-0.1","2.9","2.4","89.5","91.4","86.7","89.3","-0.17","-0.05","0.03","0.00","0.00","144.22","144.38","143.56","142.97"
