"Format","MoTeC CSV File",,,"Workbook",""
"Venue","suzuka_0.9",,,"Worksheet",""
"Vehicle","bmw_z4_gt3",,,"Vehicle Desc",""
"Driver","Lach Dimitrov",,,"Engine ID",""
"Device","ADL"
"Comment","Exported Using ACTI v0.6",,,"Session",""
"Log Date","10/16/2014",,,"Origin Time","172.345","s"
"Log Time","3:05:00 PM",,,"Start Time","172.350","s"
"Sample Rate","5.000","Hz",,"End Time","295.300","s"
"Duration","122.950","s",,"Start Distance","5917","m"
"Range","Lap 1",,,"End Distance","11660","m"


"Ground Speed","ABS Enabled","ABS Active","TC Enabled","TC Active","In Pit","Engine Limiter","CG Accel Lateral","CG Accel Vertical","CG Accel Longitudinal","Lap Time","Session Lap Count","Throttle Pos","Brake Pos","Clutch Pos","Engine RPM","Steering Angle","Gear","CG Height","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Camber FL","Tire Camber FR","Tire Camber RL","Tire Camber RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","Car Pos Norm","Car Pitch Angle","Car Coord X","Car Coord Z","Car Coord Y","Raw Data Sampl Rate","Sampl Clock"
"km/h","","","","","","","G","G","G","s","","%","%","%","rpm","deg","","mm","rad/s","rad/s","rad/s","rad/s","deg","deg","deg","deg","%","%","%","%","N","N","N","N","","","","","deg","deg","deg","deg","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","","deg","m","m","m","Hz",""


"237.4","1","0","0","0","0","0","-0.13","-0.00","0.16","0.025","10","100.0","0.0","100.0","7696","-0.1","7","352.92","196.1","195.8","191.4","192.4","-0.23","-0.04","-0.24","-0.06","-0.1","0.0","262148.0","3.0","4961","4636","5432","5070","0.00","0.00","0.00","0.00","-4.28","-4.44","-3.37","-3.52","340.0","340.0","352.5","352.5","328.5","329.5","340.6","341.5","30.0","28.5","61.9","60.2","0.00","0.00","-626.4","-25.5","631.1","62.5","1"
"238.6","1","0","0","0","0","0","-0.04","-0.00","0.16","0.225","10","100.0","0.0","100.0","7734","-0.1","7","352.76","196.9","196.9","192.3","193.4","-0.15","0.03","-0.15","0.01","-0.1","0.0","262148.0","3.0","4868","4773","5328","5201","0.00","0.00","0.00","0.00","-4.32","-4.39","-3.41","-3.48","340.0","340.0","352.5","352.5","328.7","329.2","340.8","341.2","29.7","29.1","61.5","60.8","0.00","0.00","-626.3","-25.8","644.3","62.5","1"
"239.8","1","0","0","0","0","0","-0.00","-0.00","0.15","0.425","10","100.0","0.0","100.0","7770","-0.1","7","352.56","197.9","197.8","193.2","194.3","-0.12","0.08","-0.10","0.09","-0.1","0.0","262148.0","3.0","4849","4825","5305","5267","0.00","0.00","0.00","0.00","-4.35","-4.38","-3.42","-3.46","340.0","340.0","352.5","352.5","328.7","329.0","340.9","341.1","29.6","29.6","61.3","61.1","0.00","0.00","-626.3","-26.2","657.6","62.5","1"
"240.9","1","0","0","0","0","0","-0.05","0.00","0.17","0.625","10","100.0","0.0","100.0","7806","-0.1","7","352.36","198.9","198.7","194.1","195.2","-0.15","0.04","-0.15","0.04","-0.1","0.0","262148.0","3.0","4938","4788","5392","5218","0.00","0.00","0.00","0.00","-4.33","-4.40","-3.42","-3.48","340.0","340.0","352.5","352.5","328.5","329.1","340.7","341.2","29.9","29.5","61.6","61.0","0.01","0.00","-626.2","-26.6","670.9","62.5","1"
"242.0","1","0","0","0","0","0","-0.03","-0.00","0.17","0.825","10","100.0","0.0","100.0","7842","-0.1","7","352.24","199.8","199.7","195.0","196.1","-0.14","0.05","-0.13","0.09","-0.1","0.0","262148.0","3.0","4916","4828","5365","5256","0.00","0.00","0.00","0.00","-4.34","-4.39","-3.42","-3.47","340.0","340.0","352.5","352.5","328.6","329.0","340.8","341.1","30.0","29.6","61.6","61.1","0.01","0.00","-626.1","-26.9","684.3","62.5","1"
"243.1","1","0","0","0","0","0","-0.02","-0.00","0.15","1.025","10","100.0","0.0","100.0","7876","-0.1","7","352.02","200.7","200.6","195.8","196.9","-0.14","0.06","-0.13","0.07","-0.1","0.0","262148.0","3.0","4928","4862","5378","5279","0.00","0.00","0.00","0.00","-4.34","-4.39","-3.43","-3.47","340.0","340.0","352.5","352.5","328.5","329.0","340.7","341.1","30.1","29.8","61.7","61.2","0.01","0.00","-626.0","-27.3","697.8","62.5","1"
"244.1","1","0","0","0","0","0","-0.00","-0.00","0.16","1.225","10","100.0","0.0","100.0","7910","-0.6","7","351.81","201.5","201.5","196.7","197.8","-0.10","0.10","-0.09","0.06","-0.1","0.0","262148.0","3.0","4938","4908","5369","5324","0.00","0.00","0.00","0.00","-4.35","-4.39","-3.44","-3.46","340.0","340.0","352.5","352.5","328.5","328.9","340.8","341.0","30.2","30.0","61.7","61.4","0.01","0.00","-625.8","-27.7","711.3","62.5","1"
