"Format","MoTeC CSV File",,,"Workbook",""
"Venue","vallelunga",,,"Worksheet",""
"Vehicle","ks_corvette_c7r",,,"Vehicle Desc",""
"Driver","oryxx",,,"Engine ID",""
"Device","ADL"
"Comment","AC_TIME_ATTACK",,,"Session","AC_TIME_ATTACK"
"Log Date","4/9/2015",,,"Origin Time","285.588","s"
"Log Time","6:51:00 PM",,,"Start Time","285.600","s"
"Sample Rate","10.000","Hz",,"End Time","378.750","s"
"Duration","93.150","s",,"Start Distance","12077.4","m"
"Range","Lap 3",,,"End Distance","16099.7","m"


"Distance","ABS Active","ABS Enabled","Best Lap Time","Brake Pos","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","Drive Train Speed","Engine Limiter","Engine RPM","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","LR Sample Clock","Lap Time","Lap Time2","Last Lap Time","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Num Tires Off Track","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Steering Angle","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temperature FL","Tire Temperature FR","Tire Temperature RL","Tire Temperature RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR"
"m","","","s","%","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","rad/s","","rpm","l","","km/h","","","","s","s","s","l","hp","rpm","mm","mm","mm","mm","N.m","","Hz","mm","mm","mm","mm","N.m","N.m","N.m","N.m","","deg","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s"


"0.0","0","0","93.272","0.0","0.11","0.21","0.14","375.1","-3.02","-2.86","-1.93","-1.72","-275.1","215.20","191.1","0.00","0.00","0.00","0.00","0.00","-12.61","-12.61","-1.17","1.34","0.09","0.54","55.51","0.06","-0.76","-1.20","100.0","0","160.72","0","5652","30.00","5","199.9","0","0","1","0.029","0.029","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-136.9","254.6","-76.4","142.3","3","-1.2","31.0","33.5","35.6","36.7","0","0","100.0","0.00","0.00","0.00","0.00","4674","5935","4799","5292","314.0","310.0","344.2","342.5","33.89","31.64","34.71","32.86","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.09","0.14","-0.00","0.18","-0.1","-0.2","2.1","1.2","81.5","67.5","86.7","75.1","-0.12","0.06","0.08","0.08","0.00","172.63","173.47","161.22","160.22"
"5.6","0","0","93.272","0.0","0.09","0.22","-0.02","374.9","-2.99","-2.90","-2.01","-1.93","-269.6","215.20","191.0","0.00","0.00","0.00","0.00","0.00","-12.61","-12.61","-1.09","-1.22","0.08","0.31","55.74","0.08","-0.74","-0.96","100.0","0","161.27","0","5672","30.00","5","200.7","0","0","1","0.129","0.129","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-102.3","149.6","-102.7","128.3","3","-0.9","31.6","32.7","38.9","40.8","0","0","100.0","0.00","0.00","0.00","0.00","3850","4142","5107","5152","315.9","314.6","343.6","342.8","33.88","31.65","34.71","32.87","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.09","0.14","0.00","0.18","-0.1","-0.1","1.2","1.9","81.5","67.6","86.7","75.2","-0.09","0.03","0.08","0.08","0.00","172.95","173.26","160.60","161.95"
"11.2","0","0","93.272","0.0","0.09","0.24","-0.01","375.4","-3.00","-2.88","-1.97","-1.82","-264.0","215.22","191.0","0.00","0.00","0.00","0.00","0.00","-12.61","-12.61","-1.09","0.44","0.09","0.05","55.97","0.07","-0.76","-0.77","100.0","0","162.02","0","5698","30.00","5","201.5","0","0","1","0.229","0.229","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-105.2","147.5","-91.9","152.0","3","-0.7","31.5","32.8","37.9","39.2","0","0","100.0","0.00","0.00","0.00","0.00","3863","4149","5196","5387","315.9","314.6","343.4","342.3","33.88","31.66","34.71","32.89","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.08","0.13","0.01","0.19","-0.1","-0.1","2.0","1.2","81.5","67.6","86.7","75.3","-0.08","0.02","0.08","0.08","0.00","173.72","174.01","162.53","161.52"
"16.8","0","0","93.272","0.0","0.07","0.24","0.01","375.9","-2.99","-2.88","-1.96","-1.84","-258.8","215.24","191.0","0.00","0.00","0.00","0.00","0.00","-12.61","-12.61","-1.11","-0.49","0.07","-0.37","56.19","0.07","-0.74","-0.62","100.0","0","162.73","0","5723","30.00","5","202.3","0","0","1","0.314","0.314","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","83.3","69.1","69.1","93.3","93.3","-107.2","141.4","-97.8","117.0","3","-0.6","31.0","32.4","37.7","38.8","0","0","100.0","0.00","0.00","0.00","0.00","3921","4040","5039","5285","315.8","314.8","343.7","342.5","33.88","31.66","34.72","32.90","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.07","0.12","-0.01","0.17","-0.1","-0.1","1.3","2.0","81.5","67.6","86.7","75.4","-0.07","0.01","0.08","0.08","0.00","174.39","174.62","162.08","163.38"
"22.4","0","0","93.272","0.0","0.05","0.24","0.03","375.6","-2.98","-2.89","-1.95","-1.85","-253.4","215.27","190.9","0.00","0.00","0.00","0.00","0.01","-12.61","-12.61","-1.10","0.51","0.06","-0.58","56.42","0.05","-0.75","-0.56","100.0","0","163.32","0","5744","30.00","5","203.1","0","0","0","0.414","0.414","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","50.0","69.1","69.1","93.3","93.3","-110.6","145.7","-108.2","122.6","3","-0.6","31.2","32.3","37.6","38.8","0","0","100.0","0.00","0.00","0.00","0.00","3979","4101","5292","5364","315.6","314.7","343.1","342.3","33.87","31.67","34.72","32.91","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.05","0.11","-0.03","0.16","-0.1","-0.1","1.2","2.0","81.4","67.7","86.7","75.4","-0.07","0.02","0.08","0.08","0.00","175.16","175.39","162.64","163.99"
"28.1","0","0","93.272","0.0","0.05","0.22","0.00","375.9","-2.97","-2.89","-1.94","-1.86","-247.1","215.31","190.9","0.00","0.00","0.00","0.00","0.01","-12.61","-12.61","-1.10","-0.07","0.05","-0.83","56.68","0.05","-0.74","-0.63","100.0","0","163.96","0","5766","30.00","5","204.1","0","0","0","0.529","0.529","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","50.0","69.1","69.1","93.3","93.3","-114.3","141.7","-109.6","119.3","3","-0.6","30.6","31.6","37.9","38.8","0","0","100.0","0.00","0.00","0.00","0.00","4030","4084","5224","5334","315.5","314.7","343.3","342.4","33.87","31.67","34.72","32.92","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.05","0.10","-0.03","0.16","-0.1","-0.1","1.2","1.9","81.4","67.7","86.8","75.5","-0.07","0.01","0.08","0.08","0.00","175.95","176.16","163.30","164.61"
"33.8","0","0","93.272","0.0","0.04","0.22","-0.00","375.8","-2.96","-2.87","-1.96","-1.86","-241.6","215.35","190.9","0.00","0.00","0.00","0.00","0.01","-12.61","-12.61","-1.09","-0.08","0.05","-0.16","56.88","0.05","-0.74","-0.51","100.0","0","164.51","0","5785","30.00","5","204.8","0","0","0","0.614","0.614","93.322","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","83.3","69.1","69.1","93.3","93.3","-108.1","142.2","-113.5","126.1","3","-0.6","30.8","31.5","38.1","38.9","0","0","100.0","0.00","0.00","0.00","0.00","3893","4085","5307","5420","315.8","314.7","343.1","342.2","33.87","31.68","34.73","32.93","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","0.04","0.09","-0.04","0.14","-0.1","-0.1","1.1","1.8","81.4","67.7","86.8","75.6","-0.07","0.01","0.08","0.08","0.00","176.55","176.80","163.85","165.16"
