"Format","MoTeC CSV File",,,"Workbook",""
"Venue","vallelunga",,,"Worksheet",""
"Vehicle","ks_corvette_c7r",,,"Vehicle Desc",""
"Driver","oryxx",,,"Engine ID",""
"Device","ADL"
"Comment","AC_TIME_ATTACK",,,"Session","AC_TIME_ATTACK"
"Log Date","4/9/2015",,,"Origin Time","243.214","s"
"Log Time","6:33:00 PM",,,"Start Time","243.250","s"
"Sample Rate","10.000","Hz",,"End Time","290.650","s"
"Duration","47.400","s",,"Start Distance","8579.7","m"
"Range","Lap 5",,,"End Distance","10294.0","m"


"Distance","ABS Active","ABS Enabled","Best Lap Time","Brake Pos","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","Drive Train Speed","Engine Limiter","Engine RPM","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","LR Sample Clock","Lap Time","Lap Time2","Last Lap Time","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Num Tires Off Track","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Steering Angle","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temperature FL","Tire Temperature FR","Tire Temperature RL","Tire Temperature RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR"
"m","","","s","%","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","rad/s","","rpm","l","","km/h","","","","s","s","s","l","hp","rpm","mm","mm","mm","mm","N.m","","Hz","mm","mm","mm","mm","N.m","N.m","N.m","N.m","","deg","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s"


"0.0","0","0.0000","47.214","0.0","-0.08","0.25","0.09","375.8","-2.97","-2.88","-1.88","-1.83","-274.21","216.31","191.1","0.00","0.00","0.00","0.00","0.00","-12.61","-12.61","-1.12","1.77","-0.01","-1.32","55.36","-0.03","-0.73","1.15","100.0","0","160.45","0","5643","30.00","5","199.3","1","0","0","0.040","0.040","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-155.3","133.0","-125.5","95.3","5","1.2","31.8","31.8","36.8","36.3","0","0","100.0","0.00","0.00","0.00","0.00","4311","4496","5567","5023","314.9","313.4","342.5","342.9","33.89","30.84","34.69","32.17","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.11","-0.05","-0.15","0.04","-0.1","-0.0","1.9","1.4","81.5","62.5","86.5","70.8","0.05","-0.11","0.08","0.08","0.00","172.10","172.28","160.91","159.99"
"5.6","0","0.0000","47.214","0.0","-0.15","0.24","0.04","375.8","-2.86","-2.93","-1.95","-1.91","-268.43","216.33","191.0","0.00","0.00","0.00","0.00","0.01","-12.61","-12.61","-1.08","-0.55","-0.04","1.71","55.62","-0.05","-0.73","1.68","100.0","0","161.15","0","5667","30.00","5","200.3","1","0","0","0.144","0.144","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-161.1","91.4","-124.5","89.9","5","1.4","32.4","30.5","39.5","37.8","0","0","100.0","0.00","0.00","0.00","0.00","4311","3682","5179","5076","314.9","315.5","343.4","342.7","33.88","30.85","34.69","32.18","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.16","-0.10","-0.19","-0.01","-0.1","-0.1","2.0","1.4","81.5","62.5","86.6","70.9","0.08","-0.13","0.08","0.08","0.00","172.89","172.60","161.60","160.69"
"11.1","0","0.0000","47.214","0.0","-0.11","0.23","-0.00","376.1","-2.95","-2.96","-1.79","-1.93","-262.64","216.34","191.0","0.00","0.00","0.00","0.00","0.01","-12.61","-12.61","-1.11","-0.46","-0.06","-1.54","55.87","-0.08","-0.74","1.36","100.0","0","161.80","0","5690","30.00","5","201.2","1","0","0","0.248","0.248","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-144.7","100.5","-126.7","87.3","5","1.4","31.9","30.6","39.0","37.4","0","0","100.0","0.00","0.00","0.00","0.00","3980","3872","5384","4914","315.6","315.0","342.9","343.1","33.88","30.85","34.70","32.20","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.15","-0.10","-0.19","-0.01","-0.1","-0.1","1.9","1.4","81.5","62.6","86.6","71.0","0.06","-0.12","0.08","0.08","0.00","173.52","173.50","162.22","161.38"
"16.7","0","0.0000","47.214","0.0","-0.15","0.24","0.03","375.9","-2.91","-2.98","-1.87","-1.95","-257.49","216.34","191.0","0.00","0.00","0.00","0.00","0.01","-12.61","-12.61","-1.10","-0.03","-0.10","0.38","56.08","-0.08","-0.74","1.26","100.0","0","162.31","0","5708","30.00","5","201.9","1","0","1","0.340","0.340","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-166.0","96.4","-171.1","83.3","5","0.9","32.1","30.3","39.2","37.0","0","0","100.0","0.00","0.00","0.00","0.00","4330","3772","5521","5124","314.8","315.3","342.6","342.6","33.88","30.86","34.70","32.21","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.15","-0.10","-0.21","-0.02","-0.1","-0.1","1.0","2.1","81.5","62.6","86.6","71.1","0.04","-0.09","0.08","0.08","0.00","174.33","174.13","161.57","163.04"
"22.4","0","0.0000","47.214","0.0","-0.10","0.22","0.02","375.8","-2.86","-2.96","-1.91","-1.94","-251.87","216.32","190.9","0.00","0.00","0.00","0.00","0.02","-12.61","-12.61","-1.10","0.07","-0.06","0.64","56.31","-0.07","-0.74","0.93","100.0","0","162.92","0","5730","30.00","5","202.7","1","0","1","0.440","0.440","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","83.3","69.1","69.1","93.3","93.3","-152.3","108.9","-133.7","96.9","5","0.4","32.4","30.3","39.0","37.4","0","0","100.0","0.00","0.00","0.00","0.00","4265","3921","5297","5101","315.0","314.9","343.1","342.7","33.88","30.87","34.71","32.22","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.10","-0.05","-0.18","0.00","-0.0","-0.1","1.8","1.3","81.5","62.7","86.7","71.1","-0.00","-0.05","0.08","0.08","0.00","175.01","174.90","163.35","162.50"
"28.0","0","0.0000","47.214","0.0","-0.07","0.23","-0.01","375.6","-2.90","-2.96","-1.90","-1.91","-245.77","216.29","190.9","0.00","0.00","0.00","0.00","0.02","-12.61","-12.61","-1.12","0.28","-0.06","-0.27","56.55","-0.04","-0.75","0.23","100.0","0","163.68","0","5756","30.00","5","203.6","1","0","1","0.548","0.548","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-157.8","119.6","-135.8","96.3","5","-0.1","32.3","31.0","38.5","37.3","0","0","100.0","0.00","0.00","0.00","0.00","4517","3975","5236","5103","314.4","314.7","343.3","342.7","33.88","30.87","34.71","32.24","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.06","-0.01","-0.14","0.05","-0.1","-0.1","1.2","2.0","81.5","62.7","86.7","71.2","-0.03","-0.03","0.08","0.08","0.00","175.81","175.72","162.96","164.40"
"33.7","0","0.0000","47.214","0.0","-0.01","0.23","0.05","375.4","-2.92","-2.89","-1.86","-1.87","-240.56","216.26","190.9","0.00","0.00","0.00","0.00","0.02","-12.61","-12.61","-1.10","-0.82","0.03","0.80","56.76","-0.01","-0.75","-0.13","100.0","0","164.28","0","5778","30.00","5","204.3","1","0","1","0.640","0.640","47.400","110.00","428.0","6500","75.0","75.0","110.0","110.0","579.0","0","62.5","69.1","69.1","93.3","93.3","-120.9","122.2","-115.2","121.7","5","-0.1","31.9","30.9","39.4","38.4","0","0","100.0","0.00","0.00","0.00","0.00","3849","4011","5305","5371","315.9","314.6","343.1","342.0","33.88","30.88","34.72","32.25","325.0","325.0","355.0","355.0","99.50","99.50","99.50","99.50","-0.03","0.02","-0.10","0.09","-0.1","-0.1","1.9","1.2","81.5","62.7","86.7","71.3","-0.04","-0.02","0.08","0.08","0.00","176.15","176.36","164.74","163.83"
